,team_id,in_degree,out_degree,total_degree,avg_total_degree,med_in_degree,med_out_degree,max_total_degree,max_in_degree,max_out_degree,max_total_degree_pos,max_in_degree_pos,max_out_degree_pos,clustering_coef,avg_clustering_coef,max_clustering_coef,max_clustering_coef_pos,betweenness,avg_betweenness,max_betweenness,max_betweenness_pos,pagerank,avg_pagerank,max_pagerank,max_pagerank_pos,max_clique,max_cliques,league,top_half,team_name,league_position
21,687,[ 7.  5.  4.  3.  8. 12. 12.  9. 10. 12.  1.],[ 6.  7.  7.  3.  8.  5.  9. 15. 14.  8.  1.],"[13.0, 12.0, 11.0, 6.0, 16.0, 17.0, 21.0, 24.0, 24.0, 20.0, 2.0]",9.222222222,8,7,24,12,15,7,5,7,"{0: 0.11130946715601861, 1: 0.08237691842057877, 2: 0.06718571401739479, 3: 0.04199736832982911, 4: 0.07178544304615854, 5: 0.27580504050196747, 6: 0.09094041401725654, 7: 0.026357980179374987, 8: 0.03309684945570562, 9: 0.10437750065099922, 10: 0}",0.082293881,0.275805041,5,"{0: 0.10232843137254902, 1: 0.11703431372549021, 2: 0.09068627450980393, 3: 0.09191176470588236, 4: 0.08762254901960784, 5: 0.07720588235294118, 6: 0.09987745098039215, 7: 0.19362745098039216, 8: 0.13909313725490197, 9: 0.10784313725490197, 10: 0.07720588235294118}",0.065802015,0.193627451,7,"{0: 0.09083983666823395, 1: 0.09712454837051296, 2: 0.0903408417310278, 3: 0.08509215148085673, 4: 0.08918834263770259, 5: 0.08591312427036368, 6: 0.09096574691226555, 7: 0.1019769644950565, 8: 0.09440522338707737, 9: 0.09161937747336893, 10: 0.08253384257353397}",0.090839837,0.101976964,7,3,"[[4, 0, 6], [4, 5, 8], [4, 5, 6], [9, 0, 6], [9, 5, 8], [9, 5, 6], [9, 7, 8]]",1,0,Real Sociedad,12
22,756,[0. 0. 0. 1. 0. 1. 3. 5. 3. 5. 0.],[1. 2. 2. 3. 1. 0. 2. 3. 2. 2. 0.],"[1.0, 2.0, 2.0, 4.0, 1.0, 1.0, 5.0, 8.0, 5.0, 7.0, 0.0]",2.0,1,2,8,5,3,7,7,3,"{0: 0, 1: 0.0, 2: 0.0, 3: 0.08333333333333333, 4: 0, 5: 0, 6: 0.0, 7: 0.10499342082457276, 8: 0.0, 9: 0.39685026299204984, 10: 0}",0.053197911,0.396850263,9,"{0: 0.025735294117647058, 1: 0.025735294117647058, 2: 0.01838235294117647, 3: 0.04411764705882353, 4: 0.025735294117647058, 5: 0.03676470588235294, 6: 0.058823529411764705, 7: 0.10294117647058823, 8: 0.08455882352941177, 9: 0.09926470588235294, 10: 0.003676470588235294}",0.029207516,0.102941176,7,"{0: 0.08114416660332573, 1: 0.09358923032612301, 2: 0.08414872164638637, 3: 0.10036789633952639, 4: 0.0816915134583215, 5: 0.06899620356146031, 6: 0.09329212964519115, 7: 0.14571452506035734, 8: 0.08926777250078452, 9: 0.09279163729706336, 10: 0.06899620356146031}",0.089267773,0.145714525,7,2,"[[6, 8], [7, 9], [7, 3]]",1,1,Girona,10
23,679,[ 7.  8.  4.  5. 13. 13.  7.  6. 14. 13.  0.],[ 8. 10.  5.  6. 12. 14.  8.  7.  6. 14.  0.],"[15.0, 18.0, 9.0, 11.0, 25.0, 27.0, 15.0, 13.0, 20.0, 27.0, 0.0]",10.0,7,8,27,14,14,5,8,5,"{0: 0.09252400277615738, 1: 0.05377524138450378, 2: 0.06899114016293027, 3: 0.14865886995196528, 4: 0.08310090129717358, 5: 0.06072944689956408, 6: 0.09440100704386957, 7: 0.15972125393078887, 8: 0.1832181012497421, 9: 0.05761256390007309, 10: 0}",0.091157503,0.183218101,8,"{0: 0.07414215686274508, 1: 0.11274509803921569, 2: 0.07077205882352941, 3: 0.06985294117647059, 4: 0.13112745098039216, 5: 0.1366421568627451, 6: 0.07352941176470588, 7: 0.06985294117647059, 8: 0.07904411764705882, 9: 0.13143382352941177, 10: 0.003676470588235294}",0.052934368,0.136642157,5,"{0: 0.09042527887326353, 1: 0.09350963592689507, 2: 0.08862232787849583, 3: 0.08795645636841555, 4: 0.09603543817648365, 5: 0.09726291781927728, 6: 0.09005785339802212, 7: 0.08919645378689885, 8: 0.08806905459634538, 9: 0.0964091302499031, 10: 0.08245545292599968}",0.090057853,0.097262918,5,4,"[[4, 9, 5, 7]]",1,1,Atl\u00e9tico Madrid,2
24,680,[ 2.  1.  3.  8.  7.  4. 10.  4.  8.  9.  1.],[ 6.  1.  2.  6.  8.  5. 10.  6.  6.  6.  1.],"[8.0, 2.0, 5.0, 14.0, 15.0, 9.0, 20.0, 10.0, 14.0, 15.0, 2.0]",6.333333333,4,6,20,10,10,6,6,6,"{0: 0.03782801827555932, 1: 0, 2: 0.5433201749824789, 3: 0.14682150463067298, 4: 0.10847272682922098, 5: 0.19185973986937513, 6: 0.07925062712774149, 7: 0.0864694938139354, 8: 0.15793261574178405, 9: 0.2039878499336176, 10: 0}",0.141449341,0.543320175,2,"{0: 0.125, 1: 0.07720588235294118, 2: 0.08088235294117647, 3: 0.1323529411764706, 4: 0.13848039215686272, 5: 0.07720588235294118, 6: 0.21507352941176472, 7: 0.09375, 8: 0.12745098039215688, 9: 0.11887254901960785, 10: 0.07720588235294118}",0.070193355,0.215073529,6,"{0: 0.10099992785198382, 1: 0.07689748882731332, 2: 0.08130271630318579, 3: 0.08897850114150122, 4: 0.0975287666031918, 5: 0.0855974381117542, 6: 0.1219504296542596, 7: 0.08888871176913116, 8: 0.08836573847607096, 9: 0.09257934445100904, 10: 0.07691093681059898}",0.088888712,0.12195043,6,3,"[[6, 9, 8], [6, 9, 4], [6, 9, 7], [6, 3, 8]]",1,1,Sevilla,7
25,691,[ 6.  4.  3.  3.  1.  3.  1.  5. 12. 10.  0.],[6. 4. 3. 3. 6. 6. 1. 6. 8. 5. 0.],"[12.0, 8.0, 6.0, 6.0, 7.0, 9.0, 2.0, 11.0, 20.0, 15.0, 0.0]",5.333333333,3,5,20,12,8,8,8,8,"{0: 0.11859917094715304, 1: 0.0977733916608263, 2: 0.22650231348483402, 3: 0.1811067249941596, 4: 0.020190228809245998, 5: 0.07107412929849566, 6: 0, 7: 0.11604673160422038, 8: 0.08465907162791657, 9: 0.14376400484955373, 10: 0}",0.096337797,0.226502313,2,"{0: 0.11458333333333333, 1: 0.0894607843137255, 2: 0.06985294117647059, 3: 0.06985294117647059, 4: 0.07781862745098038, 5: 0.10355392156862744, 6: 0.06985294117647059, 7: 0.11213235294117647, 8: 0.1636029411764706, 9: 0.1292892156862745, 10: 0.003676470588235294}",0.055759804,0.163602941,8,"{0: 0.09432869574319806, 1: 0.09098828232266815, 2: 0.08095588348156338, 3: 0.08559911658196695, 4: 0.09320875904999677, 5: 0.10395967621700626, 6: 0.07791775899426491, 7: 0.09555753999387467, 8: 0.10398933606630992, 9: 0.0993933658301901, 10: 0.07410158571896079}",0.093208759,0.103989336,8,3,"[[8, 5, 7]]",1,0,Espanyol,11
26,701,[2. 4. 3. 1. 2. 3. 3. 2. 2. 6. 0.],[2. 6. 3. 1. 2. 2. 5. 1. 3. 3. 0.],"[4.0, 10.0, 6.0, 2.0, 4.0, 5.0, 8.0, 3.0, 5.0, 9.0, 0.0]",3.111111111,2,2,10,6,6,1,9,1,"{0: 0.25, 1: 0.06958003506560664, 2: 0.08333333333333333, 3: 0, 4: 0.3149802624737183, 5: 0.0, 6: 0.025, 7: 0, 8: 0.20998684164914552, 9: 0.20998684164914552, 10: 0}",0.10571521,0.314980262,4,"{0: 0.07720588235294118, 1: 0.14583333333333331, 2: 0.09375, 3: 0.07230392156862744, 4: 0.08088235294117645, 5: 0.1286764705882353, 6: 0.18382352941176472, 7: 0.08088235294117645, 8: 0.08272058823529412, 9: 0.11151960784313725, 10: 0.003676470588235294}",0.058959695,0.183823529,6,"{0: 0.0874177895688778, 1: 0.12432275917492618, 2: 0.096980105083489, 3: 0.07279751104319912, 4: 0.08225837740334783, 5: 0.08740087377260117, 6: 0.12591288346566723, 7: 0.0769482533254794, 8: 0.08404708280847104, 9: 0.09853708648017136, 10: 0.06337727787376979}",0.087400874,0.125912883,6,2,"[[2, 0], [2, 1], [2, 5], [4, 9]]",1,1,Eibar,9
27,676,[12.  7.  6. 14. 12. 10. 13. 15. 28. 27.  4.],[14.  9.  7. 16. 14. 12. 19. 14. 27. 12.  4.],"[26.0, 16.0, 13.0, 30.0, 26.0, 22.0, 32.0, 29.0, 55.0, 39.0, 8.0]",16.44444444,12,14,55,28,27,8,8,8,"{0: 0.058969045457061914, 1: 0.06114330819533141, 2: 0.05685994041664543, 3: 0.03557533895307064, 4: 0.05491476283755272, 5: 0.05086636697714026, 6: 0.033365157347982184, 7: 0.06524169721058747, 8: 0.025177690750382134, 9: 0.08350521121141784, 10: 0.09096517669535213}",0.056053063,0.090965177,10,"{0: 0.08088235294117647, 1: 0.08823529411764706, 2: 0.07720588235294118, 3: 0.13602941176470587, 4: 0.07720588235294118, 5: 0.08455882352941177, 6: 0.10294117647058823, 7: 0.0900735294117647, 8: 0.23713235294117646, 9: 0.13419117647058823, 10: 0.07720588235294118}",0.065870098,0.237132353,8,"{0: 0.09115768503868438, 1: 0.0890546252336936, 2: 0.0893764370672637, 3: 0.09284109763624217, 4: 0.09057064662656107, 5: 0.08898676913327944, 6: 0.09356235527899046, 7: 0.09104092759414097, 8: 0.09682999769997894, 9: 0.08913315421584156, 10: 0.08744630447532376}",0.090570647,0.096829998,8,5,"[[8, 7, 4, 0, 6]]",1,1,Barcelona,1
28,675,[ 6.  6.  9.  7. 12. 18. 22. 24. 24. 20.  0.],[ 5.  7. 16.  7. 14. 18. 25. 19. 17. 20.  0.],"[11.0, 13.0, 25.0, 14.0, 26.0, 36.0, 47.0, 43.0, 41.0, 40.0, 0.0]",16.44444444,12,16,47,24,25,6,7,6,"{0: 0.1021295213828869, 1: 0.08286524528356327, 2: 0.02811950351321433, 3: 0.06486098594447404, 4: 0.04778033127100688, 5: 0.03337115314251953, 6: 0.022284204577345628, 7: 0.02633986458980774, 8: 0.04016661362275634, 9: 0.02780736797992537, 10: 0}",0.043247708,0.102129521,0,"{0: 0.06985294117647059, 1: 0.06985294117647059, 2: 0.07536764705882353, 3: 0.06985294117647059, 4: 0.06985294117647059, 5: 0.08394607843137254, 6: 0.1948529411764706, 7: 0.1292892156862745, 8: 0.07598039215686275, 9: 0.09252450980392156, 10: 0.003676470588235294}",0.051947168,0.194852941,6,"{0: 0.08814780963616117, 1: 0.08817366593859197, 2: 0.09291450842065116, 3: 0.08837459364126729, 4: 0.09069984747533687, 5: 0.09353371415383455, 6: 0.09533012519601924, 7: 0.09388540237456752, 8: 0.09152334328348687, 9: 0.09146534899767388, 10: 0.08595164088240945}",0.091465349,0.095330125,6,5,"[[5, 6, 4, 8, 9], [7, 8, 9, 4, 6]]",1,1,Real Madrid,3
29,674,[ 2.  6.  3.  2.  5.  7.  8. 13.  9. 15.  0.],[ 2.  6.  2.  3.  7. 10. 13.  8. 13.  5.  1.],"[4.0, 12.0, 5.0, 5.0, 12.0, 17.0, 21.0, 21.0, 22.0, 20.0, 1.0]",7.777777778,6,6,22,15,13,8,9,6,"{0: 0.1, 1: 0.1293847442475377, 2: 0.30000000000000004, 3: 0.0, 4: 0.09496775309101067, 5: 0.055479566080143414, 6: 0.02912259705173798, 7: 0.08227026213967054, 8: 0.03878285393838638, 9: 0.26290601892329085, 10: 0}",0.0993558,0.3,2,"{0: 0.10294117647058823, 1: 0.07659313725490195, 2: 0.07720588235294118, 3: 0.11397058823529412, 4: 0.125, 5: 0.10784313725490195, 6: 0.16176470588235295, 7: 0.1323529411764706, 8: 0.11458333333333333, 9: 0.09191176470588236, 10: 0.04044117647058824}",0.063589325,0.161764706,6,"{0: 0.08595336272773266, 1: 0.08706629033517602, 2: 0.082387834832227, 3: 0.0908397884999926, 4: 0.09699847328512085, 5: 0.09604887973768123, 6: 0.09832486415781633, 7: 0.0929083896688869, 8: 0.09737790097117888, 9: 0.08704078457746849, 10: 0.08505343120671913}",0.090839788,0.098324864,6,4,"[[5, 8, 9, 4]]",1,1,Valencia,4
30,712,[2. 2. 1. 4. 5. 2. 2. 5. 5. 4. 0.],[1. 4. 0. 3. 5. 2. 2. 5. 4. 6. 0.],"[3.0, 6.0, 1.0, 7.0, 10.0, 4.0, 4.0, 10.0, 9.0, 10.0, 0.0]",3.555555556,2,3,10,5,6,4,4,9,"{0: 0, 1: 0.08333333333333333, 2: 0, 3: 0.1602499522563787, 4: 0.05737082617179014, 5: 0.20998684164914552, 6: 0.0, 7: 0.12403749283845682, 8: 0.1028380727833967, 9: 0.07446856244669202, 10: 0}",0.073844098,0.209986842,5,"{0: 0.07169117647058823, 1: 0.08639705882352941, 2: 0.03676470588235294, 3: 0.08823529411764706, 4: 0.14338235294117646, 5: 0.08088235294117647, 6: 0.10294117647058823, 7: 0.14338235294117646, 8: 0.09558823529411764, 9: 0.07720588235294118, 10: 0.003676470588235294}",0.051674837,0.143382353,4,"{0: 0.08093505186791838, 1: 0.09659507250252844, 2: 0.07074971382209425, 3: 0.08765839037541852, 4: 0.11809056675061691, 5: 0.08723082875029987, 6: 0.08536221485792966, 7: 0.1038298877087339, 8: 0.09817122163516988, 9: 0.100627337907196, 10: 0.07074971382209425}",0.08765839,0.118090567,4,2,"[[0, 6], [7, 1], [7, 4], [7, 9], [8, 9]]",1,0,Legan\u00e9s,17
31,677,[ 6.  1.  4.  3.  5.  9.  3.  5. 14. 11.  0.],[ 7.  2.  6.  5.  5. 11.  7.  5.  6.  7.  0.],"[13.0, 3.0, 10.0, 8.0, 10.0, 20.0, 10.0, 10.0, 20.0, 18.0, 0.0]",6.777777778,5,6,20,14,11,5,8,5,"{0: 0.11449718929047469, 1: 0.24037492838456803, 2: 0.06785825724175495, 3: 0.17519607994263806, 4: 0.18577294107636852, 5: 0.05955090122364123, 6: 0.07106360608623565, 7: 0.1590327717598203, 8: 0.24461254109361688, 9: 0.18564223087353268, 10: 0}",0.136691041,0.244612541,8,"{0: 0.09975490196078429, 1: 0.06985294117647059, 2: 0.09497549019607844, 3: 0.06985294117647059, 4: 0.08051470588235293, 5: 0.13627450980392158, 6: 0.07352941176470588, 7: 0.07224264705882352, 8: 0.1281862745098039, 9: 0.10104166666666667, 10: 0.003676470588235294}",0.05166122,0.13627451,5,"{0: 0.09441516643897749, 1: 0.08288157197449691, 2: 0.08934728541115523, 3: 0.08670833846774596, 4: 0.089256094510465, 5: 0.11232964124044052, 6: 0.09125309053710795, 7: 0.08750012219422906, 8: 0.09076059522148278, 9: 0.09687769100958304, 10: 0.07867040299431605}",0.089347285,0.112329641,5,3,"[[5, 9, 8], [5, 9, 7]]",1,0,Deportivo La Coru\u00f1a,18
32,714,[0. 0. 0. 2. 2. 1. 4. 1. 1. 2. 0.],[0. 0. 0. 2. 3. 3. 2. 1. 0. 2. 0.],"[0.0, 0.0, 0.0, 4.0, 5.0, 4.0, 6.0, 2.0, 1.0, 4.0, 0.0]",1.444444444,1,1,6,4,3,6,6,4,"{0: 0, 1: 0, 2: 0, 3: 0.0, 4: 0.10499342082457276, 5: 0.08333333333333333, 6: 0.0, 7: 0, 8: 0, 9: 0.25, 10: 0}",0.039847887,0.25,9,"{0: 0.003676470588235294, 1: 0.003676470588235294, 2: 0.003676470588235294, 3: 0.07720588235294118, 4: 0.0661764705882353, 5: 0.07720588235294118, 6: 0.09926470588235294, 7: 0.04411764705882353, 8: 0.025735294117647058, 9: 0.05514705882352941, 10: 0.003676470588235294}",0.025531046,0.099264706,6,"{0: 0.05897692011563962, 1: 0.05897692011563962, 2: 0.05897692011563962, 3: 0.11495438597404103, 4: 0.11952762735512938, 5: 0.13658564673960477, 6: 0.1454790571729062, 7: 0.08539919984704501, 8: 0.05897692011563962, 9: 0.1031694823330756, 10: 0.05897692011563962}",0.0853992,0.145479057,6,2,"[[3, 7], [6, 9]]",1,0,Las Palmas,19
33,684,[ 3.  4.  2.  7.  9.  3.  7.  9.  8. 10.  3.],[ 4.  5.  4.  9.  9.  1. 12. 10.  5.  2.  4.],"[7.0, 9.0, 6.0, 16.0, 18.0, 4.0, 19.0, 19.0, 13.0, 12.0, 7.0]",7.222222222,7,5,19,10,12,6,9,6,"{0: 0.10178738586263243, 1: 0.06039684199579493, 2: 0.10433201749824789, 3: 0.05063672910624945, 4: 0.03512270496220334, 5: 0, 6: 0.026732694269964483, 7: 0.03181877905825518, 8: 0.09166401209245344, 9: 0.7229818046466444, 10: 0.056905928998779276}",0.1165799,0.722981805,9,"{0: 0.07720588235294118, 1: 0.08547794117647059, 2: 0.07720588235294118, 3: 0.11580882352941177, 4: 0.16268382352941177, 5: 0.07720588235294118, 6: 0.13786764705882354, 7: 0.21415441176470587, 8: 0.10018382352941177, 9: 0.11029411764705882, 10: 0.07720588235294118}",0.068627451,0.214154412,7,"{0: 0.08647675494205007, 1: 0.09342265629317463, 2: 0.08515345768365733, 3: 0.09650835434543378, 4: 0.103752933808269, 5: 0.08008468134039315, 6: 0.09698288517178372, 7: 0.09953663972785931, 8: 0.08899045554489815, 9: 0.08262282972155881, 10: 0.08646835142092213}",0.088990456,0.103752934,4,3,"[[3, 9, 6]]",1,1,Real Betis,6
34,678,[2. 2. 0. 3. 1. 5. 1. 8. 6. 5. 0.],[4. 3. 1. 3. 2. 4. 2. 3. 3. 7. 1.],"[6.0, 5.0, 1.0, 6.0, 3.0, 9.0, 3.0, 11.0, 9.0, 12.0, 1.0]",3.666666667,2,3,12,8,7,9,7,9,"{0: 0.020833333333333332, 1: 0.0, 2: 0, 3: 0.13228342099734994, 4: 0.0, 5: 0.10640089899495721, 6: 0.125, 7: 0.10499342082457276, 8: 0.08333333333333333, 9: 0.032856202974938964, 10: 0}",0.055063692,0.132283421,3,"{0: 0.0974264705882353, 1: 0.1488970588235294, 2: 0.03676470588235294, 3: 0.07169117647058823, 4: 0.1323529411764706, 5: 0.08455882352941177, 6: 0.07169117647058823, 7: 0.1636029411764706, 8: 0.1213235294117647, 9: 0.20220588235294118, 10: 0.03676470588235294}",0.064848856,0.202205882,9,"{0: 0.0896401103330595, 1: 0.08844400696191752, 2: 0.07934267073668495, 3: 0.08483542431670772, 4: 0.10120288254928346, 5: 0.09068822778190538, 6: 0.08849595824936038, 7: 0.0982060233864151, 8: 0.08666689440876674, 9: 0.1113308392166094, 10: 0.08114696205928985}",0.088495958,0.111330839,9,2,"[[3, 5], [3, 7], [9, 5]]",1,0,Athletic Club,16
35,682,[ 3.  2.  4.  3.  5. 10. 11.  7.  7. 10.  1.],[4. 4. 5. 5. 7. 8. 9. 9. 5. 5. 2.],"[7.0, 6.0, 9.0, 8.0, 12.0, 18.0, 20.0, 16.0, 12.0, 15.0, 3.0]",7.0,5,5,20,11,9,6,6,6,"{0: 0.047696426773055495, 1: 0.02624835520614319, 2: 0.05134053939697433, 3: 0.043998026247371834, 4: 0.10905463433641971, 5: 0.08326449337967086, 6: 0.0692562287380917, 7: 0.05028449225655174, 8: 0.19198454133702209, 9: 0.2440686013458338, 10: 0.125}",0.094745122,0.244068601,9,"{0: 0.09926470588235294, 1: 0.08088235294117647, 2: 0.10631127450980393, 3: 0.12561274509803924, 4: 0.07720588235294118, 5: 0.1593137254901961, 6: 0.18290441176470587, 7: 0.13602941176470587, 8: 0.08394607843137254, 9: 0.08639705882352941, 10: 0.07720588235294118}",0.067504085,0.182904412,6,"{0: 0.08806012672697365, 1: 0.08785122418546984, 2: 0.0898173603746556, 3: 0.10257927674306924, 4: 0.08793492960858641, 5: 0.09685107780915637, 6: 0.0954501552017014, 7: 0.09679176541052348, 8: 0.08648666735703332, 9: 0.08643278429347252, 10: 0.08174463228935823}",0.088060127,0.102579277,3,4,"[[4, 9, 8, 5]]",1,1,Villarreal,5
